tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
688f9793_04096_02048,0,"(483, 315)",54.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_02048.png
688f9793_04096_02560,0,"(202, 460)",74.1,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_02560.png
688f9793_04096_02560,1,"(77, 327)",137.4,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_02560.png
688f9793_04096_02560,2,"(417, 79)",112.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_02560.png
688f9793_04096_03072,0,"(476, 483)",14.5,11.61,0.04,0.0,0.0,0.03,overlay/688f9793_04096_03072.png
688f9793_04096_03072,1,"(27, 101)",37.5,15.42,0.04,0.0,0.0,0.031,overlay/688f9793_04096_03072.png
688f9793_04096_03584,0,"(454, 449)",50.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_03584.png
688f9793_04096_03584,1,"(430, 123)",143.1,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_03584.png
688f9793_04096_03584,2,"(162, 76)",124.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_03584.png
688f9793_04096_04096,0,"(58, 454)",49.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_04096.png
688f9793_04096_04608,0,"(250, 466)",78.4,5.84,0.05,0.0,0.016,0.0,overlay/688f9793_04096_04608.png
688f9793_04096_04608,1,"(348, 114)",202.7,7.55,0.05,0.0,0.016,0.0,overlay/688f9793_04096_04608.png
688f9793_04096_04608,2,"(98, 142)",196.3,15.7,0.02,0.0,0.0,0.014,overlay/688f9793_04096_04608.png
688f9793_04096_05120,0,"(342, 460)",90.8,1.26,0.24,0.003,0.065,0.025,overlay/688f9793_04096_05120.png
688f9793_04096_05120,1,"(380, 152)",210.9,4.0,0.14,0.0,0.006,0.101,overlay/688f9793_04096_05120.png
688f9793_04096_05120,2,"(108, 131)",184.4,1.32,0.3,0.002,0.093,0.006,overlay/688f9793_04096_05120.png
688f9793_04096_05632,0,"(466, 407)",40.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_05632.png
688f9793_04096_05632,1,"(457, 142)",67.0,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_05632.png
688f9793_04096_06144,0,"(401, 469)",15.0,2.3,0.16,0.0,0.051,0.007,overlay/688f9793_04096_06144.png
688f9793_04096_06144,1,"(66, 362)",99.5,9.93,0.04,0.0,0.0,0.032,overlay/688f9793_04096_06144.png
688f9793_04096_06144,2,"(475, 278)",59.3,2.9,0.14,0.0,0.048,0.0,overlay/688f9793_04096_06144.png
688f9793_04096_06144,3,"(372, 134)",14.6,1.98,0.11,0.0,0.034,0.008,overlay/688f9793_04096_06144.png
688f9793_04096_06144,4,"(46, 118)",66.1,13.95,0.03,0.0,0.0,0.026,overlay/688f9793_04096_06144.png
688f9793_04096_06144,5,"(476, 37)",19.0,9.51,0.03,0.0,0.002,0.022,overlay/688f9793_04096_06144.png
688f9793_04096_06656,0,"(58, 467)",35.9,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_06656.png
688f9793_04096_06656,1,"(46, 258)",83.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_06656.png
688f9793_04096_06656,2,"(36, 33)",18.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_06656.png
688f9793_04096_07168,0,"(387, 415)",155.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_07168.png
688f9793_04096_07168,1,"(219, 271)",27.3,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_07168.png
688f9793_04096_07168,2,"(358, 131)",170.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04096_07168.png
688f9793_04096_07680,0,"(481, 467)",18.2,9.52,0.07,0.0,0.003,0.047,overlay/688f9793_04096_07680.png
688f9793_04096_08192,0,"(89, 463)",62.0,9.97,0.28,0.0,0.0,0.225,overlay/688f9793_04096_08192.png
688f9793_04096_08192,1,"(81, 212)",160.5,9.07,0.53,0.0,0.02,0.374,overlay/688f9793_04096_08192.png
688f9793_04608_01536,0,"(443, 168)",92.4,7.49,0.04,0.0,0.012,0.0,overlay/688f9793_04608_01536.png
688f9793_04608_02048,0,"(272, 490)",23.7,8.05,0.15,0.0,0.017,0.076,overlay/688f9793_04608_02048.png
688f9793_04608_02048,1,"(50, 142)",71.8,1.95,0.57,0.0,0.191,0.001,overlay/688f9793_04608_02048.png
688f9793_04608_02560,0,"(346, 319)",360.5,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_02560.png
688f9793_04608_02560,1,"(185, 72)",126.4,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_02560.png
688f9793_04608_03072,0,"(437, 431)",87.2,4.8,0.3,0.0,0.076,0.055,overlay/688f9793_04608_03072.png
688f9793_04608_03072,1,"(40, 424)",55.5,4.49,0.31,0.0,0.082,0.052,overlay/688f9793_04608_03072.png
688f9793_04608_03072,2,"(444, 117)",112.2,6.18,0.18,0.0,0.028,0.081,overlay/688f9793_04608_03072.png
688f9793_04608_03584,0,"(71, 442)",75.3,1.97,0.1,0.0,0.022,0.024,overlay/688f9793_04608_03584.png
688f9793_04608_03584,1,"(458, 54)",43.8,5.53,0.23,0.0,0.071,0.009,overlay/688f9793_04608_03584.png
688f9793_04608_03584,2,"(86, 97)",124.2,0.96,0.28,0.019,0.061,0.003,overlay/688f9793_04608_03584.png
688f9793_04608_04096,0,"(56, 61)",50.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_04096.png
688f9793_04608_04608,0,"(304, 485)",44.3,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_04608.png
688f9793_04608_04608,1,"(271, 297)",131.5,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_04608.png
688f9793_04608_04608,2,"(274, 44)",54.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_04608.png
688f9793_04608_05120,0,"(373, 475)",63.9,7.12,0.31,0.0,0.053,0.12,overlay/688f9793_04608_05120.png
688f9793_04608_05120,1,"(378, 293)",202.9,6.39,0.55,0.0,0.098,0.204,overlay/688f9793_04608_05120.png
688f9793_04608_05120,2,"(330, 69)",88.9,5.96,0.37,0.0,0.07,0.129,overlay/688f9793_04608_05120.png
688f9793_04608_05632,0,"(486, 315)",22.1,22.74,0.45,0.0,0.0,0.026,overlay/688f9793_04608_05632.png
688f9793_04608_05632,1,"(474, 78)",37.0,23.02,0.03,0.0,0.0,0.027,overlay/688f9793_04608_05632.png
688f9793_04608_06144,0,"(123, 490)",17.2,15.66,0.02,0.0,0.0,0.018,overlay/688f9793_04608_06144.png
688f9793_04608_06144,1,"(121, 321)",153.7,11.42,0.05,0.0,0.0,0.04,overlay/688f9793_04608_06144.png
688f9793_04608_06144,2,"(98, 93)",130.4,20.32,0.03,0.0,0.0,0.024,overlay/688f9793_04608_06144.png
688f9793_04608_06656,0,"(257, 422)",115.7,0.0,5.44,0.565,0.848,0.056,overlay/688f9793_04608_06656.png
688f9793_04608_06656,1,"(62, 107)",96.6,0.72,2.39,0.041,0.541,0.452,overlay/688f9793_04608_06656.png
688f9793_04608_07168,0,"(400, 367)",157.3,0.0,0.28,0.038,0.028,0.007,overlay/688f9793_04608_07168.png
688f9793_04608_07168,1,"(88, 324)",138.3,1.57,0.07,0.0,0.017,0.017,overlay/688f9793_04608_07168.png
688f9793_04608_07168,2,"(396, 55)",86.0,3.96,0.09,0.0,0.024,0.016,overlay/688f9793_04608_07168.png
688f9793_04608_07680,0,"(35, 367)",44.4,1.09,0.89,0.016,0.267,0.005,overlay/688f9793_04608_07680.png
688f9793_04608_08192,0,"(122, 283)",170.8,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_08192.png
688f9793_04608_08192,1,"(102, 59)",77.2,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_04608_08192.png
688f9793_05120_02048,0,"(296, 204)",533.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_02048.png
688f9793_05120_02560,0,"(481, 249)",44.0,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_02560.png
688f9793_05120_02560,1,"(420, 29)",40.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_02560.png
688f9793_05120_03072,0,"(171, 436)",90.8,11.58,0.03,0.0,0.0,0.027,overlay/688f9793_05120_03072.png
688f9793_05120_03072,1,"(454, 49)",42.3,7.09,0.08,0.0,0.021,0.013,overlay/688f9793_05120_03072.png
688f9793_05120_03072,2,"(96, 189)",212.4,8.78,0.06,0.0,0.007,0.035,overlay/688f9793_05120_03072.png
688f9793_05120_03584,0,"(412, 381)",36.6,1.93,0.35,0.0,0.095,0.048,overlay/688f9793_05120_03584.png
688f9793_05120_03584,1,"(87, 49)",64.4,11.29,0.11,0.0,0.0,0.087,overlay/688f9793_05120_03584.png
688f9793_05120_04096,0,"(130, 480)",24.3,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_04096.png
688f9793_05120_04096,1,"(122, 304)",171.9,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_04096.png
688f9793_05120_04608,0,"(359, 325)",207.5,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_04608.png
688f9793_05120_04608,1,"(307, 64)",101.7,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_04608.png
688f9793_05120_05120,0,"(399, 300)",167.4,0.24,0.45,0.049,0.048,0.05,overlay/688f9793_05120_05120.png
688f9793_05120_05120,1,"(379, 71)",132.6,5.94,0.15,0.0,0.022,0.066,overlay/688f9793_05120_05120.png
688f9793_05120_05632,0,"(31, 318)",40.0,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_05632.png
688f9793_05120_05632,1,"(18, 66)",17.6,999.0,0.0,0.0,0.0,0.0,overlay/688f9793_05120_05632.png
688f9793_05120_06144,0,"(136, 271)",311.7,1.96,0.87,0.0,0.085,0.495,overlay/688f9793_05120_06144.png
