tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
68899581_01024_00000,0,"(186, 373)",33.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00000,1,"(50, 211)",52.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00000,2,"(298, 171)",180.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00512,0,"(87, 116)",125.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00512.png
68899581_01024_00512,1,"(361, 146)",173.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00512.png
68899581_01024_01024,0,"(162, 117)",58.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_01024.png
68899581_01024_01024,1,"(57, 27)",15.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_01024.png
68899581_01024_01536,0,"(139, 164)",136.1,16.87,0.01,0.0,0.0,0.009,overlay/68899581_01024_01536.png
68899581_01024_01536,1,"(372, 145)",198.9,5.26,0.03,0.0,0.008,0.0,overlay/68899581_01024_01536.png
68899581_01024_02048,0,"(479, 206)",50.8,10.89,0.06,0.0,0.0,0.044,overlay/68899581_01024_02048.png
68899581_01024_02048,1,"(315, 213)",189.4,2.96,0.21,0.0,0.02,0.121,overlay/68899581_01024_02048.png
68899581_01024_02048,2,"(93, 174)",152.0,1.64,0.21,0.0,0.071,0.0,overlay/68899581_01024_02048.png
68899581_01024_02560,0,"(439, 188)",91.5,8.68,0.11,0.0,0.011,0.064,overlay/68899581_01024_02560.png
68899581_01024_02560,1,"(53, 177)",72.2,1.15,0.2,0.007,0.039,0.042,overlay/68899581_01024_02560.png
68899581_01024_02560,2,"(259, 204)",123.4,1.91,0.17,0.0,0.058,0.0,overlay/68899581_01024_02560.png
68899581_01024_03072,0,"(24, 195)",34.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03072,1,"(393, 226)",168.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03072,2,"(170, 197)",177.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03584,0,"(236, 210)",335.3,2.21,0.13,0.0,0.044,0.0,overlay/68899581_01024_03584.png
68899581_01024_04096,0,"(67, 195)",126.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_04096.png
68899581_01536_00000,0,"(140, 451)",92.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_00000.png
68899581_01536_00000,1,"(386, 395)",130.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_00000.png
68899581_01536_00512,0,"(123, 350)",155.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_00512.png
68899581_01536_00512,1,"(378, 348)",180.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_00512.png
68899581_01536_01024,0,"(126, 360)",211.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_01024.png
68899581_01536_01536,0,"(409, 370)",179.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_01536.png
68899581_01536_01536,1,"(200, 376)",170.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_01536.png
68899581_01536_02048,0,"(153, 367)",159.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_02048.png
68899581_01536_02048,1,"(402, 374)",178.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_02048.png
68899581_01536_02560,0,"(445, 361)",100.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_02560.png
68899581_01536_02560,1,"(237, 375)",152.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_02560.png
68899581_01536_03072,0,"(410, 381)",123.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_03072.png
68899581_01536_03072,1,"(169, 371)",132.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_03072.png
68899581_01536_03072,2,"(25, 58)",19.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_03072.png
68899581_01536_03584,0,"(251, 398)",278.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_03584.png
68899581_01536_04096,0,"(239, 462)",21.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_04096.png
68899581_01536_04096,1,"(78, 399)",127.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_04096.png
68899581_02048_00000,0,"(304, 483)",45.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_00000.png
68899581_02048_00000,1,"(144, 31)",48.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_00000.png
68899581_02048_00512,0,"(91, 488)",19.6,12.5,0.04,0.0,0.0,0.036,overlay/68899581_02048_00512.png
68899581_02048_01024,0,"(132, 474)",66.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_01024.png
68899581_02048_01024,1,"(109, 239)",158.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_01024.png
68899581_02048_01536,0,"(306, 443)",119.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_01536.png
68899581_02048_01536,1,"(300, 249)",161.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_01536.png
68899581_02048_02048,0,"(272, 475)",52.9,20.57,0.0,0.0,0.0,0.003,overlay/68899581_02048_02048.png
68899581_02048_02048,1,"(258, 268)",204.1,6.75,0.01,0.0,0.003,0.0,overlay/68899581_02048_02048.png
68899581_02048_02560,0,"(297, 287)",312.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02048_02560.png
68899581_02048_03072,0,"(255, 300)",375.2,1.56,0.05,0.0,0.015,0.0,overlay/68899581_02048_03072.png
68899581_02048_03584,0,"(38, 305)",59.3,2.76,0.07,0.0,0.016,0.019,overlay/68899581_02048_03584.png
68899581_02048_03584,1,"(253, 293)",195.9,0.54,0.24,0.037,0.02,0.0,overlay/68899581_02048_03584.png
68899581_02048_03584,2,"(62, 61)",14.8,2.1,0.1,0.0,0.027,0.015,overlay/68899581_02048_03584.png
68899581_02048_04096,0,"(284, 26)",28.4,4.73,0.02,0.0,0.006,0.005,overlay/68899581_02048_04096.png
68899581_02560_00000,0,"(329, 49)",68.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_00000.png
68899581_02560_00512,0,"(477, 444)",25.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_00512.png
68899581_02560_00512,1,"(256, 424)",131.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_00512.png
68899581_02560_00512,2,"(483, 51)",14.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_00512.png
68899581_02560_00512,3,"(101, 98)",122.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_00512.png
68899581_02560_01024,0,"(226, 458)",81.8,13.98,0.03,0.0,0.0,0.025,overlay/68899581_02560_01024.png
68899581_02560_01024,1,"(30, 446)",23.5,21.4,0.02,0.0,0.0,0.018,overlay/68899581_02560_01024.png
68899581_02560_01024,2,"(162, 241)",182.0,3.6,0.07,0.0,0.023,0.0,overlay/68899581_02560_01024.png
68899581_02560_01024,3,"(118, 53)",92.3,7.46,0.1,0.0,0.029,0.009,overlay/68899581_02560_01024.png
68899581_02560_01536,0,"(372, 398)",138.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_01536.png
68899581_02560_01536,1,"(346, 176)",160.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_01536.png
68899581_02560_02048,0,"(331, 480)",42.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_02048.png
68899581_02560_02048,1,"(294, 209)",304.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_02560_02048.png
68899581_02560_02560,0,"(486, 239)",33.9,14.75,0.01,0.0,0.0,0.007,overlay/68899581_02560_02560.png
68899581_02560_02560,1,"(246, 266)",244.1,0.46,0.18,0.035,0.001,0.0,overlay/68899581_02560_02560.png
68899581_02560_03072,0,"(207, 241)",299.8,0.3,0.19,0.037,0.003,0.0,overlay/68899581_02560_03072.png
68899581_02560_03584,0,"(254, 193)",371.5,0.06,0.31,0.06,0.004,0.0,overlay/68899581_02560_03584.png
68899581_02560_04096,0,"(200, 446)",180.3,1.98,0.1,0.0,0.033,0.004,overlay/68899581_02560_04096.png
68899581_02560_04096,1,"(186, 136)",277.0,0.36,0.17,0.017,0.028,0.0,overlay/68899581_02560_04096.png
68899581_03072_00512,0,"(138, 437)",136.5,9.27,0.02,0.0,0.004,0.005,overlay/68899581_03072_00512.png
68899581_03072_00512,1,"(110, 219)",122.7,16.99,0.01,0.0,0.0,0.011,overlay/68899581_03072_00512.png
68899581_03072_00512,2,"(252, 35)",51.1,23.55,0.01,0.0,0.0,0.006,overlay/68899581_03072_00512.png
68899581_03072_01024,0,"(204, 458)",76.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_01024.png
68899581_03072_01024,1,"(247, 263)",159.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_01024.png
68899581_03072_01024,2,"(206, 39)",65.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_01024.png
68899581_03072_01536,0,"(400, 330)",120.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_01536.png
68899581_03072_01536,1,"(400, 113)",154.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_01536.png
68899581_03072_02048,0,"(24, 79)",22.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_02048.png
68899581_03072_02048,1,"(351, 189)",289.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_02048.png
68899581_03072_02560,0,"(344, 135)",247.6,0.59,0.56,0.092,0.032,0.0,overlay/68899581_03072_02560.png
68899581_03072_03072,0,"(395, 469)",74.1,19.69,0.0,0.0,0.0,0.003,overlay/68899581_03072_03072.png
68899581_03072_03072,1,"(324, 88)",232.5,0.42,0.18,0.037,0.0,0.0,overlay/68899581_03072_03072.png
68899581_03072_03072,2,"(55, 111)",80.6,1.02,0.16,0.029,0.004,0.0,overlay/68899581_03072_03072.png
68899581_03072_03584,0,"(282, 446)",222.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_03584.png
68899581_03072_03584,1,"(240, 58)",181.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_03584.png
68899581_03072_04096,0,"(92, 428)",109.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_04096.png
68899581_03072_04096,1,"(362, 403)",226.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_04096.png
68899581_03072_04608,0,"(361, 371)",150.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_04608.png
68899581_03072_04608,1,"(80, 385)",87.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03072_04608.png
68899581_03584_00512,0,"(397, 335)",137.2,19.64,0.02,0.0,0.0,0.014,overlay/68899581_03584_00512.png
68899581_03584_00512,1,"(155, 312)",188.9,8.61,0.03,0.0,0.004,0.015,overlay/68899581_03584_00512.png
68899581_03584_00512,2,"(180, 48)",87.0,0.84,0.18,0.029,0.012,0.0,overlay/68899581_03584_00512.png
68899581_03584_01024,0,"(147, 332)",166.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01024.png
68899581_03584_01024,1,"(371, 333)",165.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01024.png
68899581_03584_01024,2,"(183, 54)",51.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01024.png
68899581_03584_01536,0,"(457, 488)",19.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01536.png
68899581_03584_01536,1,"(431, 278)",88.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01536.png
68899581_03584_01536,2,"(416, 63)",84.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_03584_01536.png
68899581_03584_02048,0,"(67, 474)",34.1,1.19,0.54,0.021,0.085,0.141,overlay/68899581_03584_02048.png
68899581_03584_02048,1,"(47, 257)",51.0,2.46,0.41,0.0,0.064,0.173,overlay/68899581_03584_02048.png
68899581_03584_02048,2,"(418, 137)",136.9,1.44,0.97,0.001,0.307,0.039,overlay/68899581_03584_02048.png
68899581_03584_02048,3,"(37, 50)",29.3,14.68,0.33,0.0,0.0,0.151,overlay/68899581_03584_02048.png
68899581_03584_02560,0,"(247, 103)",343.9,0.6,1.9,0.026,0.581,0.022,overlay/68899581_03584_02560.png
68899581_03584_03072,0,"(336, 459)",65.4,1.62,1.1,0.0,0.306,0.143,overlay/68899581_03584_03072.png
68899581_03584_03072,1,"(109, 447)",83.9,3.63,1.03,0.0,0.268,0.179,overlay/68899581_03584_03072.png
68899581_03584_03072,2,"(386, 58)",103.8,1.84,1.54,0.0,0.484,0.072,overlay/68899581_03584_03072.png
68899581_03584_03072,3,"(113, 75)",124.5,2.71,1.13,0.0,0.308,0.165,overlay/68899581_03584_03072.png
68899581_03584_03584,0,"(57, 422)",65.4,2.71,0.88,0.0,0.284,0.022,overlay/68899581_03584_03584.png
68899581_03584_03584,1,"(456, 411)",76.7,9.47,0.17,0.0,0.003,0.129,overlay/68899581_03584_03584.png
68899581_03584_03584,2,"(252, 412)",117.2,2.82,0.49,0.0,0.141,0.051,overlay/68899581_03584_03584.png
68899581_03584_03584,3,"(102, 47)",73.0,2.68,0.91,0.0,0.299,0.014,overlay/68899581_03584_03584.png
68899581_03584_04096,0,"(155, 398)",92.2,4.74,1.0,0.0,0.199,0.326,overlay/68899581_03584_04096.png
68899581_03584_04096,1,"(369, 348)",129.8,2.11,1.26,0.0,0.299,0.286,overlay/68899581_03584_04096.png
68899581_03584_04608,0,"(469, 257)",72.0,0.46,0.5,0.053,0.038,0.093,overlay/68899581_03584_04608.png
68899581_03584_04608,1,"(281, 267)",179.4,0.0,0.73,0.095,0.085,0.006,overlay/68899581_03584_04608.png
68899581_04096_00512,0,"(202, 469)",24.1,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_00512.png
68899581_04096_00512,1,"(431, 448)",67.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_00512.png
68899581_04096_01024,0,"(445, 458)",50.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01024.png
68899581_04096_01024,1,"(34, 459)",27.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01024.png
68899581_04096_01024,2,"(206, 454)",76.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01024.png
68899581_04096_01536,0,"(23, 461)",17.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01536.png
68899581_04096_01536,1,"(464, 234)",42.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01536.png
68899581_04096_01536,2,"(454, 57)",49.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_01536.png
68899581_04096_02048,0,"(63, 457)",44.3,11.95,0.06,0.0,0.0,0.047,overlay/68899581_04096_02048.png
68899581_04096_02048,1,"(483, 358)",36.4,4.68,0.37,0.0,0.123,0.002,overlay/68899581_04096_02048.png
68899581_04096_02048,2,"(56, 260)",76.0,10.84,0.08,0.0,0.0,0.065,overlay/68899581_04096_02048.png
68899581_04096_02048,3,"(401, 151)",50.1,0.27,0.39,0.031,0.074,0.005,overlay/68899581_04096_02048.png
68899581_04096_02048,4,"(67, 67)",66.2,10.06,0.06,0.0,0.0,0.049,overlay/68899581_04096_02048.png
68899581_04096_02560,0,"(39, 362)",52.9,4.81,0.06,0.0,0.018,0.002,overlay/68899581_04096_02560.png
68899581_04096_02560,1,"(415, 53)",70.4,8.96,0.02,0.0,0.005,0.008,overlay/68899581_04096_02560.png
68899581_04096_02560,2,"(142, 64)",116.9,0.34,0.37,0.07,0.005,0.0,overlay/68899581_04096_02560.png
68899581_04096_03072,0,"(323, 463)",86.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_03072.png
68899581_04096_03072,1,"(342, 34)",43.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_03072.png
68899581_04096_03072,2,"(97, 47)",43.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_03072.png
68899581_04096_03584,0,"(465, 465)",29.9,0.67,0.37,0.059,0.026,0.0,overlay/68899581_04096_03584.png
68899581_04096_03584,1,"(230, 20)",15.1,20.91,0.01,0.0,0.0,0.008,overlay/68899581_04096_03584.png
68899581_04096_03584,2,"(73, 19)",19.8,22.85,0.05,0.0,0.0,0.005,overlay/68899581_04096_03584.png
68899581_04096_04096,0,"(25, 464)",17.3,18.45,0.13,0.0,0.0,0.066,overlay/68899581_04096_04096.png
68899581_04096_04608,0,"(477, 446)",30.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_04608.png
68899581_04096_04608,1,"(206, 404)",153.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04096_04608.png
68899581_04608_00512,0,"(387, 352)",109.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_00512.png
68899581_04608_00512,1,"(439, 50)",51.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_00512.png
68899581_04608_00512,2,"(239, 74)",98.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_00512.png
68899581_04608_01024,0,"(415, 372)",149.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01024.png
68899581_04608_01024,1,"(448, 84)",74.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01024.png
68899581_04608_01024,2,"(227, 61)",85.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01024.png
68899581_04608_01024,3,"(40, 45)",26.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01024.png
68899581_04608_01536,0,"(23, 315)",16.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01536.png
68899581_04608_01536,1,"(478, 42)",20.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01536.png
68899581_04608_01536,2,"(31, 79)",35.0,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_01536.png
68899581_04608_02048,0,"(133, 424)",157.4,10.47,0.04,0.0,0.0,0.031,overlay/68899581_04608_02048.png
68899581_04608_02048,1,"(76, 223)",89.0,13.15,0.04,0.0,0.0,0.03,overlay/68899581_04608_02048.png
68899581_04608_02048,2,"(485, 138)",35.7,2.7,0.16,0.0,0.055,0.0,overlay/68899581_04608_02048.png
68899581_04608_02048,3,"(62, 39)",36.8,13.16,0.02,0.0,0.0,0.02,overlay/68899581_04608_02048.png
68899581_04608_02560,0,"(68, 394)",115.5,7.68,0.09,0.0,0.014,0.037,overlay/68899581_04608_02560.png
68899581_04608_02560,1,"(50, 117)",83.7,19.41,0.05,0.0,0.0,0.04,overlay/68899581_04608_02560.png
68899581_04608_03072,0,"(345, 300)",221.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_03072.png
68899581_04608_03072,1,"(302, 35)",59.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_04608_03072.png
68899581_04608_03584,0,"(452, 325)",80.1,10.9,0.05,0.0,0.0,0.044,overlay/68899581_04608_03584.png
68899581_04608_03584,1,"(473, 89)",51.2,0.32,0.79,0.09,0.014,0.02,overlay/68899581_04608_03584.png
68899581_04608_04096,0,"(44, 339)",65.9,3.21,1.17,0.0,0.283,0.258,overlay/68899581_04608_04096.png
68899581_04608_04096,1,"(316, 53)",108.1,2.82,0.76,0.0,0.078,0.421,overlay/68899581_04608_04096.png
68899581_04608_04096,2,"(32, 96)",42.9,4.11,1.27,0.0,0.089,0.299,overlay/68899581_04608_04096.png
68899581_05120_00512,0,"(437, 363)",91.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05120_00512.png
68899581_05120_00512,1,"(395, 115)",139.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05120_00512.png
68899581_05120_01024,0,"(434, 356)",112.9,7.86,0.28,0.0,0.041,0.122,overlay/68899581_05120_01024.png
68899581_05120_01024,1,"(436, 112)",122.3,6.45,0.55,0.0,0.161,0.054,overlay/68899581_05120_01024.png
68899581_05120_01536,0,"(51, 357)",68.6,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05120_01536.png
68899581_05120_01536,1,"(36, 125)",54.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05120_01536.png
68899581_05120_02048,0,"(134, 389)",99.3,0.38,0.21,0.03,0.003,0.035,overlay/68899581_05120_02048.png
68899581_05120_02048,1,"(140, 136)",144.0,11.8,0.06,0.0,0.0,0.049,overlay/68899581_05120_02048.png
68899581_05120_02560,0,"(252, 226)",93.5,0.0,8.52,1.0,0.926,0.59,overlay/68899581_05120_02560.png
68899581_05120_02560,1,"(55, 19)",17.6,0.22,5.35,0.191,0.918,0.929,overlay/68899581_05120_02560.png
68899581_05120_03072,0,"(288, 430)",55.9,14.54,0.0,0.0,0.0,0.003,overlay/68899581_05120_03072.png
68899581_05120_03072,1,"(371, 184)",166.6,0.85,0.04,0.007,0.002,0.0,overlay/68899581_05120_03072.png
68899581_05120_03072,2,"(71, 140)",107.3,5.73,0.01,0.0,0.005,0.0,overlay/68899581_05120_03072.png
68899581_05120_03584,0,"(462, 75)",57.0,14.78,0.4,0.0,0.0,0.077,overlay/68899581_05120_03584.png
68899581_05120_04096,0,"(205, 395)",118.4,3.78,0.81,0.0,0.144,0.303,overlay/68899581_05120_04096.png
68899581_05120_04096,1,"(62, 98)",87.1,5.18,0.66,0.0,0.126,0.229,overlay/68899581_05120_04096.png
68899581_05632_00512,0,"(443, 387)",93.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05632_00512.png
68899581_05632_00512,1,"(433, 115)",112.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05632_00512.png
68899581_05632_01024,0,"(48, 375)",71.0,16.52,0.01,0.0,0.0,0.012,overlay/68899581_05632_01024.png
68899581_05632_01024,1,"(442, 89)",92.4,3.28,0.08,0.0,0.026,0.0,overlay/68899581_05632_01024.png
68899581_05632_01024,2,"(37, 99)",54.5,17.79,0.01,0.0,0.0,0.011,overlay/68899581_05632_01024.png
68899581_05632_01536,0,"(80, 345)",111.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05632_01536.png
68899581_05632_01536,1,"(70, 98)",90.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_05632_01536.png
68899581_05632_02048,0,"(234, 308)",186.8,4.17,0.15,0.0,0.035,0.031,overlay/68899581_05632_02048.png
68899581_05632_02048,1,"(162, 81)",115.0,7.07,0.15,0.0,0.039,0.023,overlay/68899581_05632_02048.png
68899581_05632_02560,0,"(311, 165)",71.4,0.3,1.91,0.239,0.221,0.04,overlay/68899581_05632_02560.png
68899581_05632_02560,1,"(490, 125)",21.4,1.14,1.43,0.041,0.357,0.084,overlay/68899581_05632_02560.png
68899581_05632_02560,2,"(79, 142)",106.3,0.94,0.86,0.015,0.198,0.152,overlay/68899581_05632_02560.png
68899581_05632_03072,0,"(93, 119)",97.7,1.42,0.41,0.001,0.08,0.135,overlay/68899581_05632_03072.png
68899581_05632_03072,1,"(325, 91)",69.1,1.25,0.73,0.007,0.221,0.027,overlay/68899581_05632_03072.png
68899581_05632_04096,0,"(253, 215)",134.2,0.94,0.64,0.017,0.163,0.052,overlay/68899581_05632_04096.png
68899581_05632_04096,1,"(214, 19)",19.5,18.85,0.21,0.0,0.0,0.168,overlay/68899581_05632_04096.png
68899581_06144_00512,0,"(483, 77)",14.9,19.33,0.46,0.0,0.0,0.191,overlay/68899581_06144_00512.png
68899581_06144_01024,0,"(40, 413)",47.0,11.98,0.0,0.0,0.0,0.004,overlay/68899581_06144_01024.png
68899581_06144_01024,1,"(64, 129)",92.1,14.17,0.01,0.0,0.0,0.005,overlay/68899581_06144_01024.png
68899581_06144_01536,0,"(139, 416)",140.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_06144_01536.png
68899581_06144_01536,1,"(98, 99)",126.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_06144_01536.png
68899581_06144_02048,0,"(305, 390)",183.1,1.5,0.05,0.0,0.017,0.0,overlay/68899581_06144_02048.png
68899581_06144_02048,1,"(275, 139)",184.8,4.74,0.04,0.0,0.015,0.0,overlay/68899581_06144_02048.png
68899581_06144_02560,0,"(281, 396)",155.8,14.49,0.05,0.0,0.0,0.043,overlay/68899581_06144_02560.png
68899581_06144_02560,1,"(267, 159)",126.9,4.04,0.07,0.0,0.024,0.0,overlay/68899581_06144_02560.png
68899581_06144_03072,0,"(393, 351)",99.8,6.21,0.11,0.0,0.034,0.005,overlay/68899581_06144_03072.png
68899581_06144_03072,1,"(378, 107)",152.9,0.06,0.21,0.034,0.0,0.031,overlay/68899581_06144_03072.png
68899581_06144_03584,0,"(175, 221)",16.0,5.52,0.13,0.0,0.032,0.029,overlay/68899581_06144_03584.png
68899581_06144_03584,1,"(313, 188)",84.4,9.46,0.12,0.0,0.002,0.091,overlay/68899581_06144_03584.png
68899581_06144_03584,2,"(488, 131)",21.9,21.86,0.05,0.0,0.0,0.04,overlay/68899581_06144_03584.png
68899581_06144_04096,0,"(67, 133)",73.7,2.07,1.03,0.0,0.228,0.276,overlay/68899581_06144_04096.png
688efdf3_00000_00000,0,"(292, 406)",33.9,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00000_00000.png
688efdf3_00000_00512,0,"(267, 404)",128.0,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00000_00512.png
688efdf3_00000_00512,1,"(459, 380)",99.5,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00000_00512.png
688efdf3_00000_01024,0,"(428, 418)",114.7,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00000_01024.png
688efdf3_00000_01024,1,"(148, 397)",221.5,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00000_01024.png
688efdf3_00000_01536,0,"(156, 424)",103.4,1.54,0.19,0.0,0.051,0.026,overlay/688efdf3_00000_01536.png
688efdf3_00000_01536,1,"(383, 431)",82.3,2.41,0.19,0.0,0.054,0.024,overlay/688efdf3_00000_01536.png
688efdf3_00000_02048,0,"(88, 434)",98.1,12.37,0.13,0.0,0.0,0.105,overlay/688efdf3_00000_02048.png
688efdf3_00000_02048,1,"(469, 431)",47.2,10.98,0.11,0.0,0.0,0.09,overlay/688efdf3_00000_02048.png
688efdf3_00000_02048,2,"(307, 417)",128.8,8.7,0.26,0.0,0.032,0.128,overlay/688efdf3_00000_02048.png
688efdf3_00000_02560,0,"(52, 445)",50.1,10.33,0.49,0.0,0.0,0.39,overlay/688efdf3_00000_02560.png
688efdf3_00512_00512,0,"(455, 17)",14.1,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00512_00512.png
688efdf3_00512_01024,0,"(436, 50)",53.3,3.0,0.14,0.0,0.037,0.02,overlay/688efdf3_00512_01024.png
688efdf3_00512_01024,1,"(250, 26)",21.5,1.88,0.23,0.0,0.078,0.0,overlay/688efdf3_00512_01024.png
688efdf3_00512_01536,0,"(397, 32)",31.4,3.76,0.36,0.0,0.118,0.004,overlay/688efdf3_00512_01536.png
688efdf3_00512_01536,1,"(114, 36)",26.9,2.12,0.08,0.0,0.012,0.037,overlay/688efdf3_00512_01536.png
688efdf3_00512_02048,0,"(468, 50)",30.5,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00512_02048.png
688efdf3_00512_02048,1,"(284, 41)",48.4,999.0,0.0,0.0,0.0,0.0,overlay/688efdf3_00512_02048.png
